2021-05-29T14:26:36.527+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 9, "forRound": 799494, "baseEpoch": 799493, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895338, "lookbackEpochs": 900, "networkPowerAtLookback": "6670723444501479424", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:27:06.057+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 28, "forRound": 799495, "baseEpoch": 799494, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895339, "lookbackEpochs": 900, "networkPowerAtLookback": "6670834907492745216", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:27:36.028+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 6, "forRound": 799496, "baseEpoch": 799495, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895340, "lookbackEpochs": 900, "networkPowerAtLookback": "6670699667562528768", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:28:06.407+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 38, "forRound": 799497, "baseEpoch": 799496, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895341, "lookbackEpochs": 900, "networkPowerAtLookback": "6670727120993484800", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:28:36.491+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 4, "forRound": 799498, "baseEpoch": 799497, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895342, "lookbackEpochs": 900, "networkPowerAtLookback": "6670727086633746432", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:29:06.528+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 101, "forRound": 799499, "baseEpoch": 799498, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895343, "lookbackEpochs": 900, "networkPowerAtLookback": "6670727189712961536", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:29:36.405+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 5, "forRound": 799500, "baseEpoch": 799499, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895344, "lookbackEpochs": 900, "networkPowerAtLookback": "6670730488247844864", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:30:06.170+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 44, "forRound": 799501, "baseEpoch": 799500, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895345, "lookbackEpochs": 900, "networkPowerAtLookback": "6670730419528368128", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:30:36.123+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 5, "forRound": 799502, "baseEpoch": 799501, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895346, "lookbackEpochs": 900, "networkPowerAtLookback": "6670649708502941696", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:31:06.082+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 51, "forRound": 799503, "baseEpoch": 799502, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895347, "lookbackEpochs": 900, "networkPowerAtLookback": "6670649708502941696", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
